"GLIMS_ID"	"Latitude"	"Longitude"	"Type"	"M_Basin"	"Basin"	"Sub_basin"	"Area"	"Altitude"	"Dist_gr"	"Gr_fed"	"LithologyGLiM"	"GeologyHodgesYin"	"lake_ar"	"catchm_ar"	"glacier_ar"	"glac_cov"	"dist_lg"	"deb_ar"	"deb_cov"	"no_lakes_ctchm"	"Z_min"	"Z_q25"	"Z_q50"	"Z_mean"	"Z_q75"	"Z_max"	"Z_diff"	"mean_asp_ctchm"	"mean_slp_ctchm"	"mean_slp_250m"	"mean_slp_500m"	"mean_slp_1000m"	"no_eq_tot"	"eq_dep_min"	"eq_dep_q25"	"eq_dep_q50"	"eq_dep_mean"	"eq_dep_q75"	"eq_dep_max"	"no_eq_lt50km"	"no_eq_lt100km"	"no_eq_lt150km"	"no_eq_lt200km"	"no_eq_lt250km"	"no_eq_lt300km"	"no_eq_lt350km"	"no_eq_lt400km"	"eq_mag_min"	"eq_mag_q25"	"eq_mag_q50"	"eq_mag_mean"	"eq_mag_q75"	"eq_mag_max"	"no_eq_gtM25"	"no_eq_gtM30"	"no_eq_gtM35"	"no_eq_gtM40"	"no_eq_gtM45"	"no_eq_gtM50"	"no_eq_gtM55"	"no_eq_gtM60"	"no_eq_gtM65"	"no_eq_gtM70"	"no_eq_gtM75"	"Code"	"Major_Unit"	"bio1_lake"	"bio2_lake"	"bio3_lake"	"bio4_lake"	"bio5_lake"	"bio6_lake"	"bio7_lake"	"bio8_lake"	"bio9_lake"	"bio10_lake"	"bio11_lake"	"bio12_lake"	"bio13_lake"	"bio14_lake"	"bio15_lake"	"bio16_lake"	"bio17_lake"	"bio18_lake"	"bio19_lake"	"bio1_ctchm"	"bio2_ctchm"	"bio3_ctchm"	"bio4_ctchm"	"bio5_ctchm"	"bio6_ctchm"	"bio7_ctchm"	"bio8_ctchm"	"bio9_ctchm"	"bio10_ctchm"	"bio11_ctchm"	"bio12_ctchm"	"bio13_ctchm"	"bio14_ctchm"	"bio15_ctchm"	"bio16_ctchm"	"bio17_ctchm"	"bio18_ctchm"	"bio19_ctchm"	"GLOF"	"Date"
"1393"	"GL075340E35179N"	35.179	75.34	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.013	4697	180	1	"mixedSeds"	"Kohistan-Ladakh Arc"	13265	612821	3679	0.006	671	0	0	0	4697	4728	4791	4793	4848	4955	258	0.25	0.35	0.227646156078396	0.347833092853635	0.365805945376758	128	10	33	33	39.22	33	201.2	114	122	126	127	128	128	128	128	3.2	4	4.3	4.3	4.6	6.3	128	128	120	84	39	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-6.9	97	294	810.7	9.9	-23.1	33	-9.7	-10.6	4.9	-17.8	715	132	19	64	360	70	83	224	-6.96	97	294	810.74	9.86	-23.16	33	-9.79	-10.64	4.84	-17.84	707.6	131.3	18.9	64.6	357.8	69.1	81	222	0	NA
"1396"	"GL075346E35224N"	35.224	75.346	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.032	4597	973.498840332	1	"mixedSeds"	"Kohistan-Ladakh Arc"	31958	4535988	430884	0.095	960	23639	0.055	0	4597	4756	4843	4857	4964	5228	631	-1.54	0.45	0.230565181594687	0.376902399932806	0.440096461771631	127	10	33	33	39.08	33	201.2	114	121	125	126	127	127	127	127	3.2	4	4.3	4.29	4.6	6.3	127	127	119	83	38	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-6.9	97	293	811.5	10	-23	33	-9.7	-10.5	5	-17.7	563	99	14	57	269	51	93	165	-7.47	97	293	812.21	9.46	-23.6	33.02	-10.3	-11.15	4.39	-18.32	621.9	110.4	15.8	58.4	300.1	57.5	95.6	184.3	0	NA
"1398"	"GL075353E35195N"	35.195	75.353	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.058	4717	324.499603271	1	"mixedSeds"	"Kohistan-Ladakh Arc"	58128	2149673	142165	0.066	302	11302	0.079	0	4719	4809	4882	4896	4985	5155	436	2.57	0.41	0.377126680870081	0.361645313526007	0.418453134929258	127	10	33	33	39.27	33	201.2	113	121	125	126	127	127	127	127	3.2	4	4.3	4.3	4.6	6.3	127	127	119	84	39	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-7.1	97	294	811.4	9.8	-23.3	33	-9.9	-10.8	4.7	-18	686	126	18	64	344	66	83	214	-7.61	97	293.6	811.77	9.33	-23.74	33	-10.41	-11.28	4.26	-18.44	692	126.3	17.9	62.3	344.1	65.5	89.7	212.3	0	NA
"1399"	"GL075369E35207N"	35.207	75.369	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.036	4759	402.492248535	1	"mixedSeds"	"Kohistan-Ladakh Arc"	35862	1586303	331651	0.209	367	5318	0.016	0	4772	4822	4869	4891	4950	5151	379	1.37	0.36	0.306689049176843	0.303861995314608	0.340595103434359	127	10	33	33	39.27	33	201.2	113	121	125	126	127	127	127	127	3.2	4	4.3	4.3	4.6	6.3	127	127	119	84	39	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-7.1	97	293	811.7	9.8	-23.2	33	-9.9	-10.7	4.8	-17.9	640	119	17	65	323	62	69	204	-7.63	97	293	812.1	9.32	-23.74	33	-10.44	-11.29	4.26	-18.44	686	125.4	17.8	62.5	340.6	65.2	86.8	211.4	0	NA
"1403"	"GL075405E34549N"	34.549	75.405	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.021	4669	509.116882324	1	"basicVolcanics"	"Indus-Tsangpo Suture Zone"	21642	1398873	3560	0.003	944	215	0.06	0	4655	4732	4793	4813	4876	5146	491	-2.5	0.41	0.229808251261823	0.283397905514813	0.407359608212873	54	10	33	35	41.46	46.58	129.9	45	51	54	54	54	54	54	54	3.1	3.9	4.2	4.16	4.47	4.9	54	54	48	36	12	0	0	0	0	0	0	"Molasse Basins"	"Indus-Tsangpo Suture Zone"	-5.3	101	311	782.6	11	-21.6	32.5	-12.1	-8.7	6.1	-15.7	1486	263	36	61	733	125	202	472	-5.99	101	310.2	784.34	10.37	-22.21	32.58	-12.79	-9.39	5.49	-16.39	1498.2	258.7	36.6	59.1	719.5	128.1	210.1	480.6	0	NA
"1405"	"GL075412E34290N"	34.29	75.412	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.015	4198	1451.2064209	1	"mixedSeds"	"Greater Himalaya Zone"	15275	6063879	1892879	0.312	1288	50232	0.027	1	4193	4405	4669	4631	4817	5182	989	2.59	0.42	0.248371530212461	0.407694589873529	0.435288022241489	53	10	33	34	39.85	47.1	126.7	44	52	53	53	53	53	53	53	3.1	3.9	4.2	4.2	4.6	4.9	53	53	46	37	16	0	0	0	0	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.8	102	319	760.3	12.9	-19	31.9	-9.5	-6.1	8.1	-13	1518	259	41	57	720	138	242	491	-4.77	102	317.8	765.85	11.12	-20.95	32.09	-10.95	-8.12	6.38	-14.94	1641.3	276.3	44.2	56	767.2	150.2	255.6	519.4	0	NA
"1406"	"GL075416E35183N"	35.183	75.416	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.017	4548	1451.2064209	0	"mixedSeds"	"Kohistan-Ladakh Arc"	17360	3283952	159263	0.048	388	663	0.004	0	4540	4632	4696	4718	4791	4990	450	1.76	0.36	0.240497746745398	0.259082733300139	0.334656028407623	124	10	33	33	39.4	33	201.2	110	118	122	123	124	124	124	124	3.2	4	4.35	4.3	4.6	6.3	124	124	116	83	38	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-6.64	97	294	811.54	10.21	-22.84	33	-9.44	-10.34	5.16	-17.54	645.9	119.5	16.6	65.2	323.1	59.7	73.8	208.3	-6.84	97	293.7	811.68	10.01	-23.01	33.02	-9.66	-10.54	4.96	-17.74	654.4	120.2	16.8	63.9	325	60.7	79.3	209.5	0	NA
"1408"	"GL075423E35183N"	35.183	75.423	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.156	4524	1352.9967041	0	"mixedSeds"	"Kohistan-Ladakh Arc"	157187	4012062	159263	0.04	633	663	0.004	1	4523	4598	4672	4690	4767	4992	469	1.64	0.34	0.245230389007835	0.26789501375619	0.302415515092275	123	10	33	33	39.45	33	201.2	109	117	121	122	123	123	123	123	3.2	4	4.3	4.3	4.6	6.3	123	123	115	82	37	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-6.33	97	294	811.29	10.48	-22.53	33	-9.12	-10.02	5.47	-17.23	595.4	110.4	14.8	65.6	298.1	54.4	65.7	191.6	-6.74	97	293.8	811.6	10.1	-22.92	33.02	-9.55	-10.44	5.06	-17.64	642.2	118.1	16.4	64.2	319.2	59.4	76.8	205.7	0	NA
"1409"	"GL075427E35259N"	35.259	75.427	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.023	3887	2305.12475586	1	"mixedSeds"	"Kohistan-Ladakh Arc"	22719	14113232	916047	0.065	2159	113587	0.124	0	3881	4482	4710	4669	4896	5379	1498	-2.27	0.53	0.260399954979539	0.39254380110095	0.542643284325961	125	10	33	33	39.49	33	201.2	111	119	123	124	125	125	125	125	3.2	4	4.4	4.3	4.6	6.3	125	125	117	84	37	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-3.9	96	292	811.1	12.8	-20.2	33	-6.4	-7.5	7.8	-14.9	311	53	8	57	145	28	50	95	-6.81	96	291.9	813.41	10.07	-22.94	33.01	-9.54	-10.5	5.02	-17.72	500.1	86.6	12.3	57.5	234.3	44.1	77.8	155.5	0	NA
"1411"	"GL075466E34542N"	34.542	75.466	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.014	4556	484.664825439	1	"basicVolcanics"	"Indus-Tsangpo Suture Zone"	14424	2438074	257528	0.106	310	15074	0.059	1	4546	4626	4689	4701	4764	4992	446	1.18	0.36	0.264681390248131	0.235735067494583	0.355173434457855	49	10	33	35	42.24	47.1	129.9	41	46	49	49	49	49	49	49	3.1	3.9	4.2	4.15	4.5	4.9	49	49	43	32	11	0	0	0	0	0	0	"Molasse Basins"	"Indus-Tsangpo Suture Zone"	-5.57	101	309	784.46	10.82	-21.78	32.6	-12.37	-8.97	5.92	-15.97	1419.3	245	35.8	60	680.1	124.4	186.7	472.8	-5.59	101	309.2	784.33	10.74	-21.83	32.57	-12.39	-9.01	5.86	-15.99	1388.2	240.4	34.5	59.9	667.4	120.3	184.7	457	0	NA
"1412"	"GL075470E34542N"	34.542	75.47	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.081	4544	324.499603271	1	"basicVolcanics"	"Indus-Tsangpo Suture Zone"	81488	2689970	272991	0.101	180	15074	0.055	1	4545	4621	4686	4697	4763	4991	446	1.04	0.36	0.247492030925773	0.296348694939705	0.348241201592385	50	10	33	34.5	42.05	46.58	129.9	42	47	50	50	50	50	50	50	3.1	3.9	4.2	4.15	4.47	4.9	50	50	44	33	11	0	0	0	0	0	0	"Molasse Basins"	"Indus-Tsangpo Suture Zone"	-5.2	101	309.5	783.7	11.1	-21.45	32.5	-12	-8.6	6.2	-15.6	1327.9	231.1	33	60.5	641.4	115.6	171.7	438.2	-5.57	101	309.3	784.29	10.76	-21.8	32.57	-12.37	-8.99	5.88	-15.97	1385.2	240	34.4	59.9	666.3	120	184	455.9	0	NA
"1413"	"GL075472E34036N"	34.036	75.472	"M(o)"	"Indus"	"Panjnad"	"Chenab"	0.021	4155	524.785644531	0	"basicVolcanics"	"Tibetan Zone"	21264	2852157	320890	0.113	570	6377	0.02	0	4164	4374	4518	4517	4665	4906	742	1.95	0.53	0.424881631463511	0.559337785123382	0.552356966665782	100	10	33	33	36.98	44.58	82.2	83	100	100	100	100	100	100	100	3.1	3.98	4.3	4.26	4.6	5.3	100	100	87	72	34	2	0	0	0	0	0	"Tibetan Zone"	"Tibetan Zone"	-2.8	102	325	743.6	12.6	-18.8	31.3	-9.2	-6	7.9	-12.7	1263	218	34	55	601	117	203	361	-3.68	102	324.4	745.99	11.76	-19.68	31.42	-10.16	-6.95	7.08	-13.58	1310.3	220.8	35.8	53.3	608.1	122.9	220	376.5	0	NA
"1414"	"GL075477E35221N"	35.221	75.477	"M(o)"	"Indus"	"Upper Indus"	"Upper Indus"	0.041	4607	720	1	"mixedSeds"	"Kohistan-Ladakh Arc"	41695	3131799	265080	0.085	402	55781	0.21	0	4607	4711	4798	4813	4896	5138	531	1.87	0.4	0.261998238626986	0.257333628697602	0.369376535852826	119	10	33	33	40.02	35	201.2	104	113	117	118	119	119	119	119	3.2	4	4.4	4.3	4.6	6.3	119	119	111	80	36	6	1	1	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-6.6	97	292	812.7	10.3	-22.8	33	-9.3	-10.3	5.2	-17.5	566	102	15	62	274	52	72	188	-7.44	96.8	292	813.61	9.48	-23.55	33	-10.24	-11.16	4.43	-18.34	596.3	106.9	14.9	61.6	288.1	53.2	80.8	193.2	0	NA
"1418"	"GL075614E33918N"	33.918	75.614	"M(o)"	"Indus"	"Panjnad"	"Chenab"	0.022	4186	768.960327148	0	"mixedSeds"	"Tibetan Zone"	22435	2861183	462125	0.162	414	12523	0.027	1	4185	4330	4405	4412	4488	4777	592	-0.66	0.42	0.281862661451756	0.34795995064173	0.421387019091966	111	10	33	33	36.69	44.6	82.8	91	111	111	111	111	111	111	111	3.1	4.1	4.3	4.31	4.6	5.7	111	111	99	85	38	4	1	0	0	0	0	"Tibetan Zone"	"Tibetan Zone"	-2	101	325	735.7	13.1	-17.9	31	-8.3	-5.2	8.6	-11.8	1055	167	26	47	464	87	229	289	-3.27	100.8	323.5	739.17	11.95	-19.12	31.09	-9.67	-6.53	7.39	-13.1	1166.7	191.7	29.8	49.8	533.4	98.3	235.3	331.6	0	NA
"1419"	"GL075622E33917N"	33.917	75.622	"M(e)"	"Indus"	"Panjnad"	"Chenab"	0.017	4341	90	1	"mixedSeds"	"Tibetan Zone"	17187	1242159	398826	0.321	0	12174	0.031	0	4329	4394	4447	4474	4544	4772	443	-0.99	0.43	0.279682273574665	0.346116746856959	0.433367527529994	111	10	33	33	36.69	44.6	82.8	91	111	111	111	111	111	111	111	3.1	4.1	4.3	4.31	4.6	5.7	111	111	99	85	38	4	1	0	0	0	0	"Tibetan Zone"	"Tibetan Zone"	-3.24	101	323	739.45	11.97	-19.13	31.1	-9.64	-6.53	7.46	-13.04	1145.6	183.8	29.3	48.3	510.9	97.7	235.3	327.2	-3.52	100.6	323	739.94	11.74	-19.35	31.1	-9.92	-6.78	7.18	-13.32	1191.8	195.7	31.5	50.1	544.2	103.1	235.4	346	0	NA
"1421"	"GL075632E33922N"	33.922	75.632	"M(e)"	"Indus"	"Panjnad"	"Chenab"	0.038	4226	270	1	"acidPlutonics"	"Greater Himalaya Zone"	38463	1905419	444132	0.233	0	8229	0.019	1	4232	4323	4399	4434	4522	4774	542	-0.16	0.47	0.267274026522193	0.375585237544546	0.461518947509441	109	10	33	33	36.92	44.7	82.8	89	109	109	109	109	109	109	109	3.1	4.1	4.4	4.31	4.6	5.7	109	109	97	84	38	4	1	0	0	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.9	100	323	738.9	12.2	-18.8	31.1	-9.3	-6.2	7.7	-12.8	1156	187	31	49	520	102	226	340	-3.25	100	322.8	739.66	11.93	-19.12	31.1	-9.65	-6.55	7.4	-13.11	1154.1	188	30.8	49.6	523.5	101	223.9	340.8	0	NA
"1422"	"GL075632E33925N"	33.925	75.632	"M(e)"	"Indus"	"Panjnad"	"Chenab"	0.012	4236	540	1	"acidPlutonics"	"Greater Himalaya Zone"	12487	1915795	444132	0.232	269	8229	0.019	1	4230	4322	4398	4433	4521	4774	544	-0.15	0.47	0.346925456574358	0.357150668385533	0.384903577435763	109	10	33	33	36.92	44.7	82.8	89	109	109	109	109	109	109	109	3.1	4.1	4.4	4.31	4.6	5.7	109	109	97	84	38	4	1	0	0	0	0	"Greater Himalayan Zone"	"Greater Himalaya Zone"	-2.89	100	323	738.89	12.21	-18.79	31.1	-9.29	-6.19	7.71	-12.79	1150.6	185.8	30.9	48.9	516.8	101.6	225.3	338.5	-3.25	100	322.8	739.66	11.94	-19.12	31.1	-9.64	-6.54	7.4	-13.11	1153.6	187.9	30.8	49.6	523.2	101	223.9	340.7	0	NA
"1423"	"GL075636E34508N"	34.508	75.636	"M(e)"	"Indus"	"Upper Indus"	"Shingo"	0.012	4388	1152.56237793	1	"basicVolcanics"	"Kohistan-Ladakh Arc"	11853	8341623	1128985	0.135	1031	27651	0.024	4	4389	4590	4708	4713	4816	5211	822	1.06	0.43	0.237456923168171	0.295619949854212	0.395602040609358	45	10	33	39.4	46.17	48.05	129.9	34	41	45	45	45	45	45	45	3.3	3.9	4.2	4.18	4.4	4.7	45	45	42	32	9	0	0	0	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-4.62	100	307	784.38	11.58	-20.92	32.5	-7.42	-8.12	6.78	-15.12	1070.1	191.4	29	69.1	541.9	95	99.9	408	-5.68	100	306.9	786.06	10.67	-21.87	32.52	-8.47	-8.9	5.8	-16.11	1167.3	206.1	30.3	65.9	581	100.7	124	421.4	0	NA
"1424"	"GL075638E34495N"	34.495	75.638	"M(e)"	"Indus"	"Upper Indus"	"Shingo"	0.083	4605	127.279220581	1	"basicVolcanics"	"Kohistan-Ladakh Arc"	83844	1330230	246977	0.186	0	2224	0.009	0	4609	4648	4720	4732	4785	4976	367	0.29	0.38	0.316525527146098	0.323355584823997	0.393501173683963	46	10	33	37.2	45.88	47.96	129.9	35	42	46	46	46	46	46	46	3.3	3.92	4.2	4.18	4.4	4.7	46	46	43	33	10	0	0	0	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-5.5	100	307	785.3	10.9	-21.6	32.5	-8.2	-8.9	6	-15.9	1137	201	30	66	567	99	117	420	-5.75	100	307	785.6	10.63	-21.87	32.5	-8.5	-9.17	5.75	-16.15	1177.1	206.5	30.4	64.8	582.3	101.3	129.2	424.7	0	NA
"1425"	"GL075639E34501N"	34.501	75.639	"M(e)"	"Indus"	"Upper Indus"	"Shingo"	0.01	4549	886.397216797	1	"basicVolcanics"	"Kohistan-Ladakh Arc"	10094	1798421	246977	0.137	754	2224	0.009	1	4501	4621	4688	4700	4764	4976	475	0.15	0.37	0.267702816604063	0.306444358354447	0.327792478198598	46	10	33	37.2	45.88	47.96	129.9	35	42	46	46	46	46	46	46	3.3	3.92	4.2	4.18	4.4	4.7	46	46	43	33	10	0	0	0	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-4.6	100	307	784.3	11.6	-20.9	32.5	-7.4	-8.1	6.8	-15.1	1069	191	29	69	541	95	100	408	-5.58	100	307	785.41	10.78	-21.72	32.5	-8.33	-8.94	5.91	-15.99	1159	203.9	30.2	65.5	575.5	100.2	124.2	422	0	NA
"1426"	"GL075642E34503N"	34.503	75.642	"M(e)"	"Indus"	"Upper Indus"	"Shingo"	0.017	4517	1170	1	"basicVolcanics"	"Kohistan-Ladakh Arc"	17585	2321255	246977	0.106	1045	2224	0.009	2	4439	4597	4643	4668	4740	4979	540	-0.05	0.36	0.253290385962445	0.295736815613525	0.318137437065281	46	10	33	37.2	45.88	47.96	129.9	35	42	46	46	46	46	46	46	3.3	3.92	4.2	4.18	4.4	4.7	46	46	43	33	10	0	0	0	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-4.6	100	307	784.34	11.64	-20.86	32.5	-7.36	-2.33	6.84	-15.06	1051	188.1	28.6	69	533.1	93.3	97.5	401.7	-5.4	100	307	785.23	10.95	-21.55	32.5	-8.14	-7.08	6.09	-15.81	1134.2	200.2	29.8	66.2	565.7	98.5	118.2	417.1	0	NA
"1427"	"GL075655E34548N"	34.548	75.655	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.012	4642	1272.79223633	1	"acidPlutonics"	"Kohistan-Ladakh Arc"	11999	1927787	51062	0.026	1195	4439	0.087	0	4635	4708	4788	4804	4887	5110	475	-1.01	0.4	0.245584638617079	0.318532337204558	0.395571225161363	41	10	33	35	46.23	47.7	129.9	32	37	41	41	41	41	41	41	3.3	4	4.2	4.19	4.4	4.7	41	41	38	30	9	0	0	0	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-5.8	100	305	789.6	10.6	-22	32.6	-8.6	-9.3	5.7	-16.3	942	162	20	60	452	72	127	302	-6.08	99.6	305	789.92	10.36	-22.27	32.6	-8.9	-9.58	5.47	-16.58	946.3	162.3	20.4	60	455	73	126.9	302.4	0	NA
"1429"	"GL075682E34544N"	34.544	75.682	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.015	4621	450	1	"acidPlutonics"	"Kohistan-Ladakh Arc"	14723	4450004	1189711	0.267	189	20091	0.017	0	4648	4782	4886	4895	5016	5236	588	-0.91	0.4	0.0968954809764324	0.200154629061052	0.322883442634256	42	10	33	37.3	47.12	47.96	129.9	32	38	42	42	42	42	42	42	3.3	4.03	4.2	4.2	4.47	4.7	42	42	39	31	10	0	0	0	0	0	0	"Undifferentiated Unit"	"Kohistan-Ladakh Arc"	-5.5	99	305	789.4	10.9	-21.7	32.6	-8.3	-9	6.1	-16	884	147	20	59	419	69	122	290	-6.59	99	304.7	791.18	9.88	-22.74	32.61	-9.45	-10.12	5.03	-17.08	1008.2	171.2	23.2	60.9	488.7	80.2	130.5	336.3	0	NA
"1434"	"GL075705E34568N"	34.568	75.705	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.05	4648	990	1	"acidPlutonics"	"Kohistan-Ladakh Arc"	50794	5343610	483211	0.09	714	13402	0.028	1	4646	4759	4857	4865	4958	5236	590	0.27	0.41	0.215954525770627	0.27418114701724	0.367999668599986	44	10	33	35	46.47	47.79	129.9	34	40	44	44	44	44	44	44	3.3	4.07	4.2	4.2	4.43	4.7	44	44	41	33	10	0	0	0	0	0	0	"Batholiths"	"Kohistan-Ladakh Arc"	-5.61	99	304	791.8	10.79	-21.81	32.6	-8.41	-9.21	5.9	-16.21	898	155.2	23	64	447.5	78.1	103.1	330.2	-6.56	99	303.7	792.79	9.91	-22.72	32.66	-9.42	-10.14	5.06	-17.1	962.1	166.1	23.4	63.4	477.5	80.2	113.6	341.1	0	NA
"1435"	"GL075706E34560N"	34.56	75.706	"M(o)"	"Indus"	"Upper Indus"	"Shingo"	0.017	4759	180	1	"acidPlutonics"	"Kohistan-Ladakh Arc"	17421	1579806	483211	0.306	0	13402	0.028	0	4750	4828	4916	4926	4992	5233	483	-0.16	0.37	0.204519948345422	0.30112388464892	0.328517811017147	44	10	33	35	46.47	47.79	129.9	34	40	44	44	44	44	44	44	3.3	4.07	4.2	4.2	4.43	4.7	44	44	41	33	10	0	0	0	0	0	0	"Batholiths"	"Kohistan-Ladakh Arc"	-6	99	304	791.9	10.4	-22.2	32.6	-8.8	-9.6	5.6	-16.6	966	168	24	64	482	82	112	344	-6.76	99	303.8	792.8	9.73	-22.9	32.67	-9.64	-10.35	4.87	-17.28	1002.1	175.1	23.8	64.4	502.1	82.1	114.8	350.4	0	NA
"1436"	"GL075706E35857N"	35.857	75.706	"M(l)"	"Indus"	"Upper Indus"	"Shigar"	0.012	4134	0	1	"mixedSeds"	"Shyok Suture Zone"	12485	134582117	104475193	0.776	0	6755545	0.065	3	4133	4490	4738	4801	5067	6309	2176	0.97	0.37	0.0566154134550409	0.0747953361183388	0.171967870785815	70	10	33	33	47.28	51.56	168.9	51	64	69	70	70	70	70	70	3.2	3.92	4.2	4.17	4.4	5.1	70	70	65	43	11	1	0	0	0	0	0	"Karakoram Terrane"	"Shyok Suture Zone"	-6.4	92	283	809.4	9.9	-22.5	32.5	-8.5	-10.4	4.9	-17.7	124	18	3	49	54	11	26	37	-8.85	92	282.1	808.83	7.69	-24.79	32.48	-10.78	-12.83	2.66	-19.97	190.5	29.2	5.3	50.4	84.8	18.2	37.2	53.1	0	NA
"1437"	"GL075707E35855N"	35.855	75.707	"M(l)"	"Indus"	"Upper Indus"	"Shigar"	0.055	4130	90	1	"mixedSeds"	"Shyok Suture Zone"	55131	12612237	6220082	0.493	83	440053	0.071	1	4131	4549	4778	4804	5072	5559	1428	0.46	0.49	0.364224392453295	0.386507248403777	0.437634803949102	70	10	33	33	47.28	51.56	168.9	51	64	69	70	70	70	70	70	3.2	3.92	4.2	4.17	4.4	5.1	70	70	65	43	11	1	0	0	0	0	0	"Karakoram Terrane"	"Shyok Suture Zone"	-6.38	92	283	809.37	9.92	-22.48	32.5	-8.48	-10.38	4.92	-17.68	123.5	17.9	3	49.1	53.8	10.9	25.8	36.9	-8.72	92	282.7	809.97	7.84	-24.65	32.5	-10.41	-12.67	2.83	-19.84	192.3	28.5	5.1	48.4	83.4	17.4	40.9	54.1	0	NA
"1438"	"GL075723E35882N"	35.882	75.723	"M(l)"	"Indus"	"Upper Indus"	"Shigar"	0.026	4117	201.246124268	1	"mixedSeds"	"Shyok Suture Zone"	26530	4010664	2203	0.001	83	2080	0.944	0	4119	4537	4831	4815	5089	5580	1461	-3.01	0.67	0.354853452984101	0.524503568623903	0.65648408909944	71	10	33	35	47.78	53.9	168.9	51	65	70	71	71	71	71	71	3.2	3.9	4.2	4.16	4.4	5.1	71	71	66	43	10	1	0	0	0	0	0	"Karakoram Terrane"	"Shyok Suture Zone"	-6	92	283	808.3	10.4	-22.1	32.4	-8	-9.9	5.4	-17.2	152	25	5	53	69	16	24	48	-8.83	92	282.6	808.17	7.68	-24.74	32.4	-10.97	-12.78	2.67	-19.93	227.1	36.6	6.5	53.9	103.6	21.8	36.8	69.5	0	NA
"1440"	"GL075729E35879N"	35.879	75.729	"M(l)"	"Indus"	"Upper Indus"	"Shigar"	0.016	4101	90	1	"mixedSeds"	"Shyok Suture Zone"	16124	177996411	119421287	0.671	0	11474830	0.096	3	4109	4684	4963	5032	5321	7160	3051	-3.05	0.47	0.0896779480601354	0.232438514684948	0.367114732193976	71	10	33	35	47.78	53.9	168.9	51	65	70	71	71	71	71	71	3.2	3.9	4.2	4.16	4.4	5.1	71	71	66	43	10	1	0	0	0	0	0	"Karakoram Terrane"	"Shyok Suture Zone"	-6	92	283	807.9	10.3	-22.1	32.4	-8	-9.9	5.3	-17.3	171	28	5	53	78	17	27	54	-9.92	92	282.4	807.54	6.63	-25.8	32.42	-11.81	-13.91	1.62	-20.99	223.9	35.3	6	52.4	100.4	20.7	40.1	63.7	0	NA
"1442"	"GL075734E35878N"	35.878	75.734	"M(l)"	"Indus"	"Upper Indus"	"Shigar"	0.023	4087	127.279220581	1	"mixedSeds"	"Shyok Suture Zone"	22993	177996411	119421287	0.671	0	11474830	0.096	3	4109	4684	4963	5032	5321	7160	3051	-3.05	0.47	0.217148458823703	0.304277248244902	0.393108316242014	71	10	33	35	47.78	53.9	168.9	51	65	70	71	71	71	71	71	3.2	3.9	4.2	4.16	4.4	5.1	71	71	66	43	10	1	0	0	0	0	0	"Karakoram Terrane"	"Shyok Suture Zone"	-6.54	92	283	807.9	9.76	-22.64	32.4	-8.63	-10.53	4.76	-17.84	176.4	28.9	5	54.8	80.7	17	27	55.8	-9.92	92	282.4	807.54	6.63	-25.8	32.42	-11.81	-13.91	1.62	-20.99	223.9	35.3	6	52.4	100.4	20.7	40.1	63.7	0	NA
